topic,term,beta,term_eng
20,vergangen,0.0026,past
20,führen,0.0025,to lead
20,halten,0.0024,hold
20,kritik,0.0024,criticism
20,klar,0.0024,clear
21,dass,0.0237,that
21,sagen,0.0216,say
21,mehr,0.0112,more
21,partei,0.0095,party
21,merkel,0.0091,merkel
21,gehen,0.0087,go
21,geben,0.0076,give
21,seit,0.0066,since
21,sehen,0.0066,see
21,kommen,0.0058,come
21,union,0.0057,union
21,neu,0.0055,New
21,deutsch,0.0052,German
21,sollen,0.0047,should
21,sprechen,0.0046,speak
21,dürfen,0.0044,allowed
21,müssen,0.0043,have to
21,fdp,0.0043,fdp
21,bundestag,0.0042,Bundestag
21,csu,0.0042,Christian Social Union
21,spiegel,0.0041,mirror
21,deutschland,0.004,Germany
21,cdu,0.0038,cdu
21,steinbrück,0.0038,steinbrück
21,allerdings,0.0035,Indeed
21,zeigen,0.0034,demonstrate
21,bundestagswahl,0.0034,bundestagswahl
21,dabei,0.0034,there
21,mensch,0.003,human
21,gysi,0.003,gysi
21,setzen,0.003,put
21,lang,0.003,long
21,politisch,0.003,politically
21,dafür,0.0029,for this
21,möglich,0.0029,possible
21,frage,0.0029,question
21,ganz,0.0029,all
21,deshalb,0.0028,that's why
21,bundesregierung,0.0028,federal government
21,woche,0.0028,week
21,laut,0.0027,according to
21,problem,0.0027,problem
21,fordern,0.0027,demand
21,wenige,0.0026,few
21,bereits,0.0026,already
21,deutlich,0.0026,clear
21,mann,0.0026,man
21,bringen,0.0026,bring
21,rund,0.0026,round
21,politik,0.0025,politics
22,jahr,0.0134,year
22,sagen,0.0131,say
22,mehr,0.0118,more
22,partei,0.0113,party
22,dass,0.0112,that
22,geben,0.0108,give
22,erst,0.0094,first
22,kommen,0.0085,come
22,gehen,0.0078,go
22,deutschland,0.0071,Germany
22,sollen,0.007,should
22,deutsch,0.0067,German
22,cdu,0.0067,cdu
22,groß,0.0062,big
22,euro,0.0058,Euro
22,lassen,0.0054,to let
22,viele,0.0053,lots
22,schon,0.005,beautiful
22,spd,0.0042,spd
22,tag,0.0041,Day
22,bleiben,0.0039,stay
22,stellen,0.0036,put
22,dürfen,0.0036,allowed
22,mensch,0.0031,human
22,laut,0.003,according to
22,heute,0.003,today
22,berlin,0.003,Berlin
22,drei,0.0029,three
22,bundestagswahl,0.0029,bundestagswahl
22,zwei,0.0028,two
22,recht,0.0028,Law
22,zeigen,0.0027,demonstrate
22,ministerpräsident,0.0027,prime minister
22,politisch,0.0027,politically
22,csu,0.0027,Christian Social Union
22,hoch,0.0027,high
22,monat,0.0026,month
22,entscheidung,0.0026,decision
22,spiegel,0.0026,mirror
22,leben,0.0025,Life
22,zudem,0.0025,moreover
22,liegen,0.0025,lie
22,schreiben,0.0025,write
22,halten,0.0025,hold
22,thema,0.0025,theme
22,kind,0.0025,child
22,zeitung,0.0025,newspaper
22,treffen,0.0024,to meet
22,sprecher,0.0024,speaker
22,mann,0.0024,man
23,sagen,0.0295,say
23,merkel,0.0127,merkel
23,müssen,0.011,have to
23,geben,0.0088,give
23,gehen,0.0085,go
23,neu,0.008,New
23,jahr,0.0077,year
23,land,0.0076,country
23,prozent,0.0073,percent
23,spd,0.0073,spd
23,deutschland,0.0072,Germany
23,partei,0.007,party
23,deutsch,0.0069,German
23,union,0.0054,union
23,zwei,0.0053,two
23,bundestag,0.0051,Bundestag
23,woche,0.0046,week
23,kanzlerin,0.0044,Chancellor
23,bereits,0.0043,already
23,bundesregierung,0.0043,federal government
23,stellen,0.0042,put
23,fdp,0.0042,fdp
23,lassen,0.0042,to let
23,weit,0.0041,far
23,mehr,0.004,more
23,koalition,0.004,coalition
23,angela,0.004,angela
23,spiegel,0.004,mirror
23,dafür,0.0039,for this
23,liegen,0.0039,lie
23,zeit,0.0038,Time
23,tag,0.0038,Day
23,viele,0.0037,lots
23,frage,0.0037,question
23,online,0.0034,on-line
23,gut,0.0034,Good
23,wenige,0.0033,few
23,stoiber,0.0033,stoiber
23,finden,0.0032,Find
23,wahl,0.0031,choice
23,regierung,0.0031,government
23,erst,0.003,first
23,etwa,0.003,about
23,möglich,0.0029,possible
23,ganz,0.0028,all
23,milliarde,0.0027,billion
23,ja,0.0027,Yes
23,wegen,0.0027,because of
23,heißen,0.0026,be called
23,setzen,0.0026,put
24,dass,0.0292,that
24,geben,0.0134,give
24,sagen,0.0122,say
24,prozent,0.0104,percent
24,berlin,0.0092,Berlin
24,partei,0.0088,party
24,spd,0.0084,spd
24,mehr,0.0073,more
24,neu,0.0071,New
24,kommen,0.006,come
24,müssen,0.0058,have to
24,grüne,0.0058,green
24,bundestag,0.0054,Bundestag
24,zwei,0.0052,two
24,politisch,0.0052,politically
24,groß,0.005,big
24,koalition,0.005,coalition
24,deutschland,0.005,Germany
24,cdu,0.005,cdu
24,sollen,0.0048,should
24,lassen,0.0046,to let
24,euro,0.0046,Euro
24,gut,0.0046,Good
24,fdp,0.0045,fdp
24,stehen,0.0042,stand
24,özdemir,0.0042,özdemir
24,bleiben,0.0041,stay
24,spiegel,0.0041,mirror
24,entscheidung,0.004,decision
24,immer,0.0039,always
24,wahl,0.0038,choice
24,ministerpräsident,0.0036,prime minister
24,ab,0.0035,from
24,treffen,0.0035,to meet
24,schröder,0.0035,Schroeder
24,thema,0.0034,theme
24,land,0.0033,country
24,dürfen,0.0033,allowed
24,seehofer,0.0032,seehofer
24,allerdings,0.0032,Indeed
24,ergebnis,0.0032,Result
24,bund,0.0031,Federation
24,erklären,0.003,to explain
24,deshalb,0.003,that's why
24,gemeinsam,0.0029,together
24,csu,0.0028,Christian Social Union
24,viele,0.0028,lots
24,wichtig,0.0027,important
24,hoch,0.0026,high
24,heißen,0.0026,be called
25,sagen,0.0283,say
25,dass,0.0127,that
25,berlin,0.0112,Berlin
25,partei,0.0098,party
25,müssen,0.009,have to
25,gehen,0.0084,go
25,neu,0.0084,New
25,prozent,0.008,percent
25,mehr,0.0079,more
25,schon,0.0073,beautiful
25,gut,0.0073,Good
25,cdu,0.0063,cdu
25,geben,0.0061,give
25,deutschland,0.0057,Germany
25,seit,0.005,since
25,bereits,0.005,already
25,groß,0.0048,big
25,stehen,0.0046,stand
25,deutsch,0.0044,German
25,erklären,0.0043,to explain
25,erst,0.004,first
25,union,0.004,union
25,spiegel,0.0039,mirror
25,dafür,0.0038,for this
25,fordern,0.0037,demand
25,steinbrück,0.0037,steinbrück
25,woche,0.0037,week
25,halten,0.0036,hold
25,berliner,0.0036,Berliner
25,koalition,0.0035,coalition
25,heißen,0.0034,be called
25,schröder,0.0034,Schroeder
25,tag,0.0032,Day
25,fdp,0.0031,fdp
25,frau,0.0031,Mrs
25,dürfen,0.003,allowed
25,etwa,0.003,about
25,ganz,0.003,all
25,sollen,0.003,should
25,stellen,0.0029,put
25,ministerpräsident,0.0029,prime minister
25,wahl,0.0028,choice
25,stark,0.0027,strongly
25,land,0.0026,country
25,nah,0.0026,close
25,zeit,0.0026,Time
25,lang,0.0026,long
25,mal,0.0025,times
25,milliarde,0.0025,billion
25,wahlkampf,0.0024,electioneering
26,wowereit,0.0348,wowereit
26,klaus,0.0299,Klaus
26,dass,0.0231,that
26,online,0.0127,on-line
26,berlin,0.0112,Berlin
26,spiegel,0.0091,mirror
26,mehr,0.0082,more
26,neu,0.0082,New
26,sagen,0.0082,say
26,spiegeln,0.0079,reflect
26,cdu,0.0074,cdu
26,groß,0.0069,big
26,politisch,0.0066,politically
26,gut,0.0066,Good
26,stehen,0.0065,stand
26,geben,0.0063,give
26,seit,0.0062,since
26,gehen,0.0059,go
26,schon,0.0059,beautiful
26,partei,0.0058,party
26,berliner,0.0056,Berliner
26,bürgermeister,0.0054,mayor
26,grüne,0.0047,green
26,bereits,0.0046,already
26,immer,0.0046,always
26,zeigen,0.0041,demonstrate
26,pds,0.0041,pds
26,ja,0.0041,Yes
26,müssen,0.0037,have to
26,dürfen,0.0037,allowed
26,zeit,0.0035,Time
26,frage,0.0034,question
26,viele,0.0033,lots
26,lassen,0.0032,to let
26,wegen,0.0031,because of
26,dafür,0.003,for this
26,koalition,0.003,coalition
26,mensch,0.003,human
26,möglich,0.0029,possible
26,bleiben,0.0028,stay
26,bundestag,0.0028,Bundestag
26,stellen,0.0028,put
26,klar,0.0028,clear
26,erst,0.0028,first
26,woche,0.0027,week
26,wer,0.0026,who
26,politiker,0.0026,Politician
26,jung,0.0026,young
26,union,0.0026,union
26,spd,0.0026,spd
27,dass,0.0328,that
27,jahr,0.0122,year
27,mehr,0.0096,more
27,geben,0.0093,give
27,schon,0.008,beautiful
27,neu,0.0077,New
27,spiegel,0.0074,mirror
27,seit,0.0064,since
27,groß,0.006,big
27,stehen,0.0059,stand
27,sagen,0.0058,say
27,merkel,0.0057,merkel
27,union,0.0056,union
27,sollen,0.0054,should
27,woche,0.0052,week
27,sehen,0.0052,see
27,lassen,0.0051,to let
27,halten,0.0048,hold
27,bereits,0.0048,already
27,land,0.0047,country
27,gehen,0.0047,go
27,bundestag,0.0046,Bundestag
27,erklären,0.0046,to explain
27,gut,0.0046,Good
27,koalition,0.0046,coalition
27,deutschland,0.0043,Germany
27,sprechen,0.0042,speak
27,csu,0.0041,Christian Social Union
27,zwei,0.0041,two
27,seehofer,0.004,seehofer
27,klar,0.004,clear
27,steinbrück,0.0039,steinbrück
27,kommen,0.0039,come
27,weit,0.0038,far
27,müssen,0.0037,have to
27,gelten,0.0035,be valid
27,grüne,0.0034,green
27,kanzlerin,0.0033,Chancellor
27,frage,0.0033,question
27,regierung,0.0033,government
27,zeigen,0.0032,demonstrate
27,treffen,0.0031,to meet
27,wer,0.0031,who
27,ende,0.003,The End
27,nah,0.003,close
27,möglich,0.0029,possible
27,steinmeier,0.0029,steinmeier
27,nehmen,0.0028,to take
27,mensch,0.0028,human
27,fordern,0.0027,demand
28,weste,0.0549,vest
28,westen,0.026,west
28,geben,0.0139,give
28,osten,0.0139,east
28,merkel,0.0135,merkel
28,sagen,0.0098,say
28,mehr,0.0091,more
28,prozent,0.009,percent
28,neu,0.0084,New
28,deutschland,0.0079,Germany
28,gehen,0.0079,go
28,kind,0.0074,child
28,spd,0.0073,spd
28,cdu,0.0071,cdu
28,spiegel,0.0069,mirror
28,schon,0.0068,beautiful
28,jahr,0.0064,year
28,müssen,0.0064,have to
28,groß,0.0064,big
28,erst,0.006,first
28,seit,0.0048,since
28,gut,0.0048,Good
28,csu,0.0046,Christian Social Union
28,kommen,0.0045,come
28,ddr,0.0042,GDR
28,frau,0.0039,Mrs
28,klar,0.0037,clear
28,berlin,0.0036,Berlin
28,thema,0.0036,theme
28,angela,0.0036,angela
28,euro,0.0035,Euro
28,halten,0.0033,hold
28,dabei,0.0032,there
28,viele,0.0032,lots
28,online,0.0031,on-line
28,kanzlerin,0.0031,Chancellor
28,stehen,0.0031,stand
28,union,0.0031,union
28,mensch,0.0031,human
28,sehen,0.003,see
28,eigen,0.0029,own
28,wer,0.0029,who
28,stark,0.0029,strongly
28,frage,0.0028,question
28,weit,0.0028,far
28,gysi,0.0028,gysi
28,gabriel,0.0025,gabriel
28,wissen,0.0025,knowledge
28,hoch,0.0025,high
28,bundestagswahl,0.0024,bundestagswahl
29,dass,0.0207,that
29,prozent,0.0206,percent
29,sagen,0.0187,say
29,geben,0.0134,give
29,jahr,0.0134,year
29,schröder,0.0118,Schroeder
29,partei,0.0101,party
29,mehr,0.009,more
29,neu,0.0086,New
29,spiegel,0.0077,mirror
29,kommen,0.0067,come
29,grüne,0.0058,green
29,immer,0.005,always
29,berlin,0.0048,Berlin
29,union,0.0047,union
29,stoiber,0.0046,stoiber
29,online,0.0044,on-line
29,koalition,0.0042,coalition
29,ab,0.0041,from
29,ganz,0.0041,all
29,lassen,0.004,to let
29,merkel,0.0038,merkel
29,zeit,0.0038,Time
29,spd,0.0038,spd
29,tag,0.0035,Day
29,klar,0.0035,clear
29,dafür,0.0035,for this
29,gelten,0.0034,be valid
29,groß,0.0033,big
29,wahlkampf,0.0032,electioneering
29,rotgrün,0.0032,Red Green
29,nehmen,0.0032,to take
29,pds,0.0031,pds
29,dabei,0.0031,there
29,halten,0.003,hold
29,problem,0.003,problem
29,wichtig,0.003,important
29,laut,0.0029,according to
29,heute,0.0029,today
29,weit,0.0028,far
29,kanzler,0.0028,chancellor
29,entscheidung,0.0026,decision
29,fdp,0.0026,fdp
29,hoch,0.0026,high
29,bereits,0.0025,already
29,regierung,0.0025,government
29,gegenüber,0.0025,across from
29,möglich,0.0024,possible
29,land,0.0024,country
29,bundestag,0.0024,Bundestag
30,dass,0.0175,that
30,deutschland,0.013,Germany
30,berlin,0.0118,Berlin
30,sagen,0.0101,say
30,müssen,0.0091,have to
30,merkel,0.0085,merkel
30,erst,0.0078,first
30,neu,0.0075,New
30,gehen,0.0073,go
30,geben,0.0065,give
30,berliner,0.0063,Berliner
30,kommen,0.0061,come
30,italien,0.0061,Italy
30,polizei,0.0058,police
30,groß,0.0055,big
30,bereits,0.0053,already
30,union,0.0051,union
30,gut,0.0051,Good
30,laut,0.0046,according to
30,fall,0.0041,case
30,mensch,0.0041,human
30,bundesregierung,0.004,federal government
30,zwei,0.0039,two
30,mehr,0.0039,more
30,sprechen,0.0038,speak
30,dürfen,0.0037,allowed
30,stellen,0.0037,put
30,mutmaßlich,0.0036,presumed
30,seit,0.0035,since
30,anschlag,0.0035,attack
30,regierung,0.0034,government
30,beide,0.0033,both
30,erklären,0.0032,to explain
30,vergangen,0.0032,past
30,zeigen,0.0032,demonstrate
30,bundestag,0.0032,Bundestag
30,hinweis,0.0032,Note
30,wegen,0.0032,because of
30,leben,0.003,Life
30,ab,0.003,from
30,tat,0.003,did
30,woche,0.0029,week
30,halten,0.0028,hold
30,behörde,0.0028,authority
30,usa,0.0027,USA
30,steinbrück,0.0027,steinbrück
30,angela,0.0027,angela
30,partei,0.0026,party
30,staat,0.0026,Country
30,jahr,0.0026,year
31,dass,0.0271,that
31,spd,0.0106,spd
31,jahr,0.0101,year
31,berlin,0.0096,Berlin
31,groß,0.0084,big
31,erst,0.0079,first
31,gut,0.0073,Good
31,union,0.0071,union
31,fischer,0.0067,fisherman
31,kommen,0.0067,come
31,sagen,0.0065,say
31,frage,0.0061,question
31,stehen,0.006,stand
31,lassen,0.0057,to let
31,politisch,0.0057,politically
31,immer,0.0056,always
31,partei,0.0052,party
31,seehofer,0.005,seehofer
31,stoiber,0.0048,stoiber
31,sprechen,0.0047,speak
31,deutschland,0.0046,Germany
31,deutsch,0.0046,German
31,bleiben,0.0045,stay
31,erklären,0.0044,to explain
31,zwei,0.0044,two
31,weit,0.0044,far
31,cdu,0.0041,cdu
31,sollen,0.0041,should
31,wissen,0.004,knowledge
31,rede,0.004,speech
31,grüne,0.0039,green
31,fordern,0.0034,demand
31,mehr,0.0033,more
31,dafür,0.0033,for this
31,mal,0.0032,times
31,dabei,0.0031,there
31,regierung,0.003,government
31,fall,0.0029,case
31,usa,0.0029,USA
31,tag,0.0029,Day
31,frau,0.0029,Mrs
31,steinbrück,0.0028,steinbrück
31,bringen,0.0028,bring
31,heute,0.0028,today
31,csu,0.0027,Christian Social Union
31,drei,0.0027,three
31,amt,0.0026,office
31,zeigen,0.0026,demonstrate
31,ministerpräsident,0.0025,prime minister
31,recht,0.0024,Law
32,sagen,0.0233,say
32,dass,0.0219,that
32,mehr,0.0119,more
32,partei,0.0104,party
32,jahr,0.0102,year
32,merkel,0.01,merkel
32,prozent,0.0094,percent
32,deutsch,0.0093,German
32,berlin,0.0083,Berlin
32,erst,0.0082,first
32,gut,0.0063,Good
32,gehen,0.0059,go
32,lassen,0.0052,to let
32,bundestag,0.005,Bundestag
32,stoiber,0.0048,stoiber
32,frage,0.0047,question
32,euro,0.0047,Euro
32,fdp,0.0046,fdp
32,stellen,0.0045,put
32,erklären,0.0044,to explain
32,bereits,0.0044,already
32,union,0.0043,union
32,bundesregierung,0.0043,federal government
32,tag,0.0039,Day
32,deutschland,0.0038,Germany
32,bundestagswahl,0.0038,bundestagswahl
32,sollen,0.0037,should
32,csu,0.0036,Christian Social Union
32,kommen,0.0036,come
32,stehen,0.0035,stand
32,rund,0.0034,round
32,mensch,0.0034,human
32,drei,0.0033,three
32,wegen,0.0033,because of
32,ab,0.0031,from
32,finden,0.0031,Find
32,usa,0.003,USA
32,seit,0.003,since
32,heißen,0.003,be called
32,bleiben,0.0029,stay
32,geben,0.0029,give
32,zeigen,0.0028,demonstrate
32,nah,0.0027,close
32,westerwelle,0.0027,westerwelle
32,jedoch,0.0026,however
32,neu,0.0026,New
32,müssen,0.0026,have to
32,weit,0.0025,far
32,bund,0.0025,Federation
32,vier,0.0025,four
33,dass,0.0357,that
33,geben,0.0153,give
33,mehr,0.0122,more
33,steinbrück,0.0114,steinbrück
33,müssen,0.0101,have to
33,spd,0.0083,spd
33,groß,0.008,big
33,gehen,0.0075,go
33,erst,0.0074,first
33,merkel,0.0064,merkel
33,sollen,0.006,should
33,sagen,0.0045,say
33,kommen,0.0044,come
33,halten,0.0044,hold
33,jahr,0.0044,year
33,fall,0.0043,case
33,euro,0.0042,Euro
33,bundestag,0.0041,Bundestag
33,prozent,0.0041,percent
33,immer,0.0041,always
33,sehen,0.004,see
33,eigen,0.004,own
33,finden,0.0039,Find
33,heißen,0.0037,be called
33,schröder,0.0036,Schroeder
33,klar,0.0034,clear
33,sprechen,0.0033,speak
33,union,0.0033,union
33,heute,0.0032,today
33,online,0.0031,on-line
33,dafür,0.003,for this
33,cdu,0.003,cdu
33,gesetz,0.0029,law
33,etwa,0.0029,about
33,laut,0.0028,according to
33,grüne,0.0028,green
33,wegen,0.0027,because of
33,dabei,0.0027,there
33,kanzlerin,0.0026,Chancellor
33,nah,0.0025,close
33,fordern,0.0025,demand
33,tag,0.0025,Day
33,hoch,0.0025,high
33,davon,0.0024,from that
33,zudem,0.0024,moreover
33,csu,0.0024,Christian Social Union
33,stoiber,0.0024,stoiber
33,jung,0.0023,young
33,zwei,0.0023,two
33,politisch,0.0023,politically
34,sagen,0.0245,say
34,dass,0.0195,that
34,partei,0.0123,party
34,kommen,0.0092,come
34,spd,0.009,spd
34,jahr,0.0089,year
34,berlin,0.0087,Berlin
34,seit,0.007,since
34,gut,0.0066,Good
34,land,0.006,country
34,zwei,0.0058,two
34,türkisch,0.0051,Turkish
34,gehen,0.0051,go
34,bereits,0.0046,already
34,weit,0.0046,far
34,müssen,0.0044,have to
34,dürfen,0.0043,allowed
34,ganz,0.0042,all
34,dabei,0.004,there
34,geben,0.0039,give
34,regierung,0.0039,government
34,sehen,0.0037,see
34,deutschland,0.0037,Germany
34,tag,0.0037,Day
34,schröder,0.0036,Schroeder
34,deutsch,0.0035,German
34,dafür,0.0035,for this
34,stellen,0.0035,put
34,stehen,0.0034,stand
34,bleiben,0.0034,stay
34,etwa,0.0033,about
34,heißen,0.0033,be called
34,groß,0.0033,big
34,viele,0.0033,lots
34,beide,0.0032,both
34,fall,0.0031,case
34,prozent,0.0031,percent
34,mal,0.003,times
34,heute,0.0029,today
34,spiegel,0.0029,mirror
34,wegen,0.0028,because of
34,vergangen,0.0028,past
34,bundesregierung,0.0028,federal government
34,entscheidung,0.0027,decision
34,politisch,0.0027,politically
34,erst,0.0027,first
34,bundestag,0.0027,Bundestag
34,gelten,0.0026,be valid
34,wahlkampf,0.0026,electioneering
34,schreiben,0.0026,write
35,stelle,0.0342,location
35,sagen,0.0167,say
35,partei,0.0127,party
35,jahr,0.0082,year
35,gehen,0.0072,go
35,neu,0.0071,New
35,sollen,0.0067,should
35,mehr,0.006,more
35,berlin,0.0058,Berlin
35,bundestag,0.0057,Bundestag
35,kommen,0.0057,come
35,rösler,0.0051,rösler
35,seit,0.0051,since
35,bleiben,0.0049,stay
35,fdp,0.0049,fdp
35,weit,0.0048,far
35,heißen,0.0044,be called
35,niebel,0.0043,Niebel
35,grüne,0.0042,green
35,ende,0.0042,The End
35,land,0.0041,country
35,csu,0.004,Christian Social Union
35,zwei,0.004,two
35,euro,0.0039,Euro
35,allerdings,0.0038,Indeed
35,ministerpräsident,0.0038,prime minister
35,brüderle,0.0037,brüderle
35,zeit,0.0037,Time
35,liegen,0.0036,lie
35,erst,0.0035,first
35,schon,0.0035,beautiful
35,ganz,0.0035,all
35,viele,0.0035,lots
35,treffen,0.0033,to meet
35,dabei,0.0033,there
35,merkel,0.0032,merkel
35,rund,0.0031,round
35,geben,0.003,give
35,immer,0.0029,always
35,wahlkampf,0.0028,electioneering
35,cdu,0.0028,cdu
35,bundestagswahl,0.0028,bundestagswahl
35,frage,0.0028,question
35,klar,0.0027,clear
35,dürfen,0.0027,allowed
35,beide,0.0027,both
35,schreiben,0.0025,write
35,gemeinsam,0.0025,together
35,landtag,0.0024,Parliament
35,stehen,0.0024,stand
36,sagen,0.0283,say
36,dass,0.0143,that
36,spd,0.0103,spd
36,müssen,0.0101,have to
36,cdu,0.0092,cdu
36,mehr,0.0091,more
36,geben,0.0087,give
36,partei,0.0079,party
36,berlin,0.0072,Berlin
36,neu,0.0055,New
36,stehen,0.0055,stand
36,sollen,0.0052,should
36,deutsch,0.0051,German
36,deutschland,0.0047,Germany
36,koalition,0.0042,coalition
36,land,0.0042,country
36,groß,0.0042,big
36,weit,0.004,far
36,woche,0.004,week
36,regierung,0.0039,government
36,online,0.0036,on-line
36,althaus,0.0035,althaus
36,zeigen,0.0034,demonstrate
36,laut,0.0034,according to
36,csu,0.0034,Christian Social Union
36,bundestag,0.0033,Bundestag
36,allerdings,0.0033,Indeed
36,sehen,0.0032,see
36,immer,0.0031,always
36,vergangen,0.0031,past
36,dafür,0.0031,for this
36,heißen,0.003,be called
36,frau,0.0029,Mrs
36,rund,0.0029,round
36,beide,0.0029,both
36,gelten,0.0028,be valid
36,zeitung,0.0028,newspaper
36,finden,0.0027,Find
36,drei,0.0027,three
36,nehmen,0.0027,to take
36,usa,0.0025,USA
36,seit,0.0025,since
36,gemeinsam,0.0024,together
36,entscheidung,0.0024,decision
36,mensch,0.0024,human
36,werfen,0.0024,throw
36,wichtig,0.0024,important
36,bundesregierung,0.0023,federal government
36,mehrere,0.0023,several
36,spät,0.0023,late
37,partei,0.0139,party
37,prozent,0.0118,percent
37,cdu,0.0111,cdu
37,deutschland,0.0106,Germany
37,berlin,0.0101,Berlin
37,jahr,0.01,year
37,spd,0.0091,spd
37,union,0.0091,union
37,mehr,0.0068,more
37,geben,0.0064,give
37,sollen,0.0064,should
37,gut,0.0062,Good
37,neu,0.0059,New
37,kommen,0.0057,come
37,deutsch,0.0054,German
37,schon,0.0053,beautiful
37,schröder,0.005,Schroeder
37,bundestag,0.0049,Bundestag
37,merkel,0.0048,merkel
37,fdp,0.0048,fdp
37,bereits,0.0047,already
37,bundesregierung,0.0043,federal government
37,bundestagswahl,0.0042,bundestagswahl
37,regierung,0.0041,government
37,wahl,0.004,choice
37,sagen,0.0039,say
37,vergangen,0.0038,past
37,dass,0.0038,that
37,heißen,0.0037,be called
37,müssen,0.0036,have to
37,gehen,0.0035,go
37,koalition,0.0033,coalition
37,zwei,0.0032,two
37,deutlich,0.0032,clear
37,viele,0.0032,lots
37,ergebnis,0.0032,Result
37,ab,0.0032,from
37,woche,0.0031,week
37,zeit,0.0031,Time
37,berliner,0.0031,Berliner
37,stark,0.0031,strongly
37,stehen,0.003,stand
37,wenige,0.0029,few
37,milliarde,0.0029,billion
37,vier,0.0028,four
37,sonntag,0.0027,Sunday
37,weit,0.0027,far
37,september,0.0027,September
37,grün,0.0026,green
37,dagegen,0.0025,on the other hand
38,sagen,0.0249,say
38,mehr,0.0104,more
38,berlin,0.0101,Berlin
38,erst,0.0084,first
38,union,0.0083,union
38,müssen,0.0071,have to
38,sollen,0.0067,should
38,partei,0.0064,party
38,schon,0.0061,beautiful
38,deutschland,0.006,Germany
38,prozent,0.0053,percent
38,politisch,0.0052,politically
38,althaus,0.005,althaus
38,gehen,0.0048,go
38,merkel,0.0047,merkel
38,frage,0.0044,question
38,stellen,0.0044,put
38,deutsch,0.0042,German
38,dürfen,0.004,allowed
38,weit,0.0038,far
38,woche,0.0038,week
38,tag,0.0038,Day
38,treffen,0.0034,to meet
38,klar,0.0033,clear
38,kommen,0.0033,come
38,allerdings,0.0032,Indeed
38,gut,0.0032,Good
38,immer,0.0031,always
38,groß,0.0031,big
38,viele,0.003,lots
38,gespräch,0.003,talk
38,seehofer,0.0029,seehofer
38,wegen,0.0029,because of
38,eigen,0.0029,own
38,jedoch,0.0028,however
38,stoiber,0.0028,stoiber
38,dabei,0.0028,there
38,wahlkampf,0.0028,electioneering
38,fordern,0.0027,demand
38,heute,0.0027,today
38,zudem,0.0027,moreover
38,euro,0.0026,Euro
38,letzt,0.0026,last
38,mann,0.0025,man
38,spiegel,0.0025,mirror
38,laut,0.0025,according to
38,zwei,0.0025,two
38,teil,0.0024,part
38,heißen,0.0024,be called
38,wissen,0.0024,knowledge
39,akt,0.0352,act
39,sagen,0.0243,say
39,akte,0.0231,file
39,dass,0.0181,that
39,deutschland,0.0102,Germany
39,spiegel,0.0091,mirror
39,geben,0.0087,give
39,berlin,0.0081,Berlin
39,ausschuss,0.0071,committee
39,mehr,0.0069,more
39,sollen,0.0066,should
39,cdu,0.0064,cdu
39,online,0.0058,on-line
39,groß,0.0056,big
39,merkel,0.0053,merkel
39,erst,0.0053,first
39,müssen,0.005,have to
39,kommen,0.005,come
39,lassen,0.0045,to let
39,woche,0.0042,week
39,zwei,0.0041,two
39,kohl,0.0041,cabbage
39,schröder,0.0039,Schroeder
39,gut,0.0039,Good
39,eigen,0.0038,own
39,dürfen,0.0037,allowed
39,sehen,0.0037,see
39,nehmen,0.0035,to take
39,schon,0.0033,beautiful
39,fall,0.0033,case
39,dabei,0.0033,there
39,seit,0.0032,since
39,heißen,0.0031,be called
39,person,0.0031,person
39,zeit,0.0031,Time
39,helmut,0.0031,helmut
39,wegen,0.003,because of
39,frage,0.003,question
39,soldat,0.0029,soldier
39,stehen,0.0029,stand
39,tun,0.0029,do
39,berliner,0.0029,Berliner
39,mensch,0.0028,human
39,fordern,0.0027,demand
39,ab,0.0027,from
39,deshalb,0.0026,that's why
39,deutsch,0.0026,German
39,wissen,0.0026,knowledge
39,ende,0.0025,The End
39,drei,0.0025,three
40,sagen,0.0289,say
40,dass,0.0231,that
40,geben,0.0127,give
40,deutschland,0.0102,Germany
40,merkel,0.0096,merkel
40,gehen,0.0084,go
40,müssen,0.0081,have to
40,mehr,0.0071,more
40,deutsch,0.0066,German
40,sollen,0.0057,should
40,bundesregierung,0.0052,federal government
40,immer,0.0049,always
40,bundestag,0.0049,Bundestag
40,sprechen,0.0049,speak
40,csu,0.0047,Christian Social Union
40,sehen,0.0046,see
40,stehen,0.0045,stand
40,union,0.0043,union
40,eigen,0.0041,own
40,spiegel,0.004,mirror
40,erklären,0.004,to explain
40,euro,0.0039,Euro
40,türkei,0.0038,Turkey
40,frage,0.0037,question
40,schröder,0.0037,Schroeder
40,cdu,0.0037,cdu
40,ende,0.0037,The End
40,neu,0.0037,New
40,allerdings,0.0035,Indeed
40,schon,0.0035,beautiful
40,stellen,0.0034,put
40,lassen,0.0034,to let
40,bereits,0.0033,already
40,treffen,0.0033,to meet
40,thema,0.0033,theme
40,wissen,0.0033,knowledge
40,gut,0.0032,Good
40,dabei,0.0032,there
40,klar,0.0031,clear
40,gemeinsam,0.003,together
40,seehofer,0.0029,seehofer
40,entscheidung,0.0029,decision
40,land,0.0029,country
40,mal,0.0028,times
40,finden,0.0028,Find
40,fall,0.0028,case
40,schreiben,0.0027,write
40,deutlich,0.0026,clear
40,berlin,0.0026,Berlin
40,nennen,0.0026,call
41,regel,0.0484,rule
41,sagen,0.0208,say
41,regeln,0.0169,regulate
41,stoiber,0.0129,stoiber
